"","Date","Time","Location","Operator","Flight #","Route","AC  Type","Registration","cn / ln","Aboard","Fatalities","Ground","Summary","formatted_date","formatted_time","total_aboard","passengers_aboard","crew_aboard","total_fatalities","passengers_fatalities","crew_fatalities","fixed_location","latitude","longitude"
"1","September 17, 1908","1718.0","Fort Myer, Virginia","Military - U.S. Army",NA,"Demonstration","Wright Flyer III",NA,"1.0","2 (passengers:1 crew:1)","1 (passengers:1 crew:0)",0,"During a demonstration flight, a U.S. Army flyer flown by Orville Wright nose-dived into the ground from a height of approximately 75 feet, killing Lt. Thomas E. Selfridge, 26, who was a passenger. This was the first recorded airplane fatality in history. One of two propellers separated in flight, tearing loose the wires bracing the rudder and causing the loss of control of the aircraft. Orville Wright suffered broken ribs, pelvis and a leg. Selfridge suffered a crushed skull and died a short time later.",1908-09-17,17:18:00,2,1,1,1,1,0,"Fort Myer, Virginia",38.88168,-77.08409
"2","September 07, 1909",NA,"Juvisy-sur-Orge, France",NA,NA,"Air show","Wright Byplane","SC1",NA,"1 (passengers:0 crew:1)","1 (passengers:0 crew:0)",0,"Eugene Lefebvre was the first pilot to ever be killed in an air accident, after his controls jambed while flying in an air show.",1909-09-07,NA,1,0,1,1,0,0,"Juvisy-sur-Orge, France",48.690660859,2.372432859
"3","July 12, 1912","630.0","Atlantic City, New Jersey","Military - U.S. Navy",NA,"Test flight","Dirigible",NA,NA,"5 (passengers:0 crew:5)","5 (passengers:0 crew:5)",0,"First U.S. dirigible Akron exploded just offshore at an altitude of 1,000 ft. during a test flight.",1912-07-12,06:30:00,5,0,5,5,0,5,"Atlantic City, New Jersey",39.360611,-74.4318753
"4","August 06, 1913",NA,"Victoria, British Columbia, Canada","Private",NA,NA,"Curtiss seaplane",NA,NA,"1 (passengers:0 crew:1)","1 (passengers:0 crew:1)",0,"The first fatal airplane accident in Canada occurred when American barnstormer, John M. Bryant, California aviator was killed.",1913-08-06,NA,1,0,1,1,0,1,"Victoria, British Columbia, Canada",48.428409,-123.365642
"5","September 09, 1913","1830.0","Over the North Sea","Military - German Navy",NA,NA,"Zeppelin L-1 (airship)",NA,NA,"20 (passengers:? crew:?)","14 (passengers:? crew:?)",0,"The airship flew into a thunderstorm and encountered a severe downdraft crashing 20 miles north of Helgoland Island into the sea. The ship broke in two and the control car immediately sank drowning its occupants.",1913-09-09,18:30:00,20,NA,NA,14,NA,NA,"the North Sea",40.932055,-72.414951
"6","October 17, 1913","1030.0","Near Johannisthal, Germany","Military - German Navy",NA,NA,"Zeppelin L-2 (airship)",NA,NA,"28 (passengers:? crew:?)","28 (passengers:? crew:?)",0,"Hydrogen gas which was being vented was sucked into the forward engine and ignited causing the airship to explode and burn at 3,000 ft..German Navy's Zeppelin airships L-4 and L-5 were blown out to sea in February 1915, never to be seen again.",1913-10-17,10:30:00,28,NA,NA,28,NA,NA,"Johannisthal, Germany",50.208295012,11.285708254
"7","March 05, 1915","100.0","Tienen, Belgium","Military - German Navy",NA,NA,"Zeppelin L-8 (airship)",NA,NA,"41 (passengers:0 crew:41)","17 (passengers:0 crew:17)",0,"Crashed into trees while attempting to land after being shot down by British and French aircraft.",1915-03-05,01:00:00,41,0,41,17,0,17,"Tienen, Belgium",50.811953197,4.941889381
"8","September 03, 1915","1520.0","Off Cuxhaven, Germany","Military - German Navy",NA,NA,"Zeppelin L-10 (airship)",NA,NA,"19 (passengers:? crew:?)","19 (passengers:? crew:?)",0,"Exploded and burned near Neuwerk Island, when hydrogen gas, being vented, was ignited by lightning.",1915-09-03,15:20:00,19,NA,NA,19,NA,NA,"Cuxhaven, Germany",53.864462999,8.69747
"9","July 28, 1916",NA,"Near Jambol, Bulgeria","Military - German Army",NA,NA,"Schutte-Lanz S-L-10 (airship)",NA,NA,"20 (passengers:? crew:?)","20 (passengers:? crew:?)",0,"Crashed near the Black Sea, cause unknown.",1916-07-28,NA,20,NA,NA,20,NA,NA,"Jambol, Bulgeria",42.4837749,26.5107737
"10","September 24, 1916","100.0","Billericay, England","Military - German Navy",NA,NA,"Zeppelin L-32 (airship)",NA,NA,"22 (passengers:? crew:?)","22 (passengers:? crew:?)",0,"Shot down by British aircraft crashing in flames.",1916-09-24,01:00:00,22,NA,NA,22,NA,NA,"Billericay, England",51.624564672,0.41665092
